acc,"[0.7303299490872979, 0.8440279546353535, 0.8770648034282379, 0.8937182740360348, 0.9078780178648089, 0.9165609140081454, 0.9278907242693774, 0.9298857870289516, 0.9381345180690591, 0.9447268111278626, 0.9482868024086589, 0.9529860231746107, 0.9574873098715913, 0.9564803052584734, 0.9552664976132098, 0.9555273190841287, 0.9622461931203222, 0.9609275732137348, 0.9625634519279306, 0.9691867852604829, 0.9691867854876924, 0.9635152285020363, 0.9634688691232529, 0.9701776648989788, 0.9663278273433409, 0.9679568528675185, 0.9711294418512867, 0.9647395174566945, 0.9679161373814603, 0.967956852943159, 0.9758576878750036, 0.9708121830436784, 0.977157360330451, 0.9707750956015484, 0.9717280812457374, 0.9765228426395939, 0.9777636595420643, 0.9768401017497639, 0.9755400255644336, 0.977157360708653, 0.9787166456406725, 0.981598984847214, 0.9803049557545285, 0.9749365482989907, 0.9806226176864159, 0.9790609137055838, 0.9777918781725888, 0.9815756037092875, 0.9733163916625395, 0.9806472081974679]"
loss,"[0.7356454008802544, 0.4021834231808952, 0.3063047586773372, 0.27694234401365825, 0.2539435801897411, 0.22925152271031046, 0.19642353667777027, 0.18926853778166933, 0.17320636765639, 0.15186831373466933, 0.1401169179876094, 0.13303492653777993, 0.11714421454559998, 0.1204378314235211, 0.14710972232916653, 0.12916428334534694, 0.12075574637058564, 0.12642691108268397, 0.12296127498909304, 0.0991799026062615, 0.10107055950705424, 0.11645093942531604, 0.11965879976618028, 0.09307814194255974, 0.13452100611001833, 0.11245440608470209, 0.09182721372373316, 0.13127610395984302, 0.10534721711515595, 0.10356997465626633, 0.07027839997774817, 0.09995592663274919, 0.0807501122682099, 0.10975634533175481, 0.10848743899922828, 0.08650425137083342, 0.07202273644755489, 0.0924127262861766, 0.08600074335951509, 0.08902878417153991, 0.08962100755648594, 0.07639330408961909, 0.0973684468747127, 0.09459428386834609, 0.07830958195689387, 0.06760819189427161, 0.08687633180015251, 0.06655681581233248, 0.1144259288402255, 0.07573878833516565]"
Validation Accuracy,"[0.9545454545454546, 0.8939393939393939, 0.9242424242424242, 0.9393939393939394, 0.9090909090909091, 0.9545454545454546, 0.9393939393939394, 0.8787878787878788, 0.9242424242424242, 0.9242424242424242, 0.9393939393939394, 0.9090909090909091, 0.9696969696969697, 0.9393939393939394, 0.9696969696969697, 0.9393939393939394, 0.9242424242424242, 0.9393939393939394, 0.9545454545454546, 0.9242424242424242, 0.9242424242424242, 0.9545454545454546, 0.9393939393939394, 0.9696969696969697, 0.9242424242424242, 0.9545454545454546, 0.9545454545454546, 0.9696969696969697, 0.9242424242424242, 0.9545454545454546, 0.9393939393939394, 0.9242424242424242, 0.9242424242424242, 0.9393939393939394, 0.9090909090909091, 0.9393939393939394, 0.8636363636363636, 0.8787878787878788, 0.9696969696969697, 0.9242424242424242, 0.8939393939393939, 0.9393939393939394, 0.9393939393939394, 0.8939393939393939, 0.9393939393939394, 0.9090909090909091, 0.9090909090909091, 0.9393939393939394, 0.9242424242424242, 0.9545454545454546]"
Validation Loss,"[0.16123798783078339, 0.26219550106730877, 0.2219533116528482, 0.15147586076548605, 0.212683158051787, 0.15986621921712701, 0.21702278405427933, 0.42574672265486285, 0.13088342153721236, 0.18569686163611937, 0.2171992537650195, 0.24295055866241455, 0.10754680296822423, 0.22385951791974631, 0.1604649936145341, 0.29550646392233443, 0.24906072110840768, 0.21804631130671073, 0.15669076280160385, 0.2993454337120056, 0.1394070644969774, 0.10113568265329707, 0.2623237586283887, 0.12080157915073814, 0.3290174946640477, 0.18830842727967675, 0.09252800916984791, 0.08113103111584981, 0.3247815008190545, 0.18077588408896467, 0.18712397777759784, 0.18492004111634963, 0.30334965297670075, 0.1252750472213489, 0.32955437266465387, 0.20878828655635184, 1.034886436028983, 0.9729126672909567, 0.1987924523703193, 0.207347262989391, 0.5401267937691459, 0.33200341200848593, 0.22085067788562315, 0.45015317193147814, 0.1713935976678675, 0.475919279646901, 0.27095904246424185, 0.5369381118904495, 0.25407674231312577, 0.2817065344283809]"
